集計年,集計月,都道府県コード,都道府県名,表示内容コード,表示内容名,表示分類コード,表示分類名,施設数（施設）,延べ宿泊者数（総数：人泊）,延べ宿泊者数（日本人：人泊）,延べ宿泊者数（外国人：人泊）,定員稼働率（％）,客室稼働率（％）,延べ宿泊者数（総数）前年同月比,延べ宿泊者数（日本人）前年同月比,延べ宿泊者数（外国人）前年同月比
2019,9,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,23580,23440,140,33.1,55.7,0.1326,0.1302,0.75
2019,9,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,100,155080,152060,3020,65.3,80.1,0.2211,0.2119,0.9739
2019,9,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,22720,22180,540,49.6,66.9,0.1137,0.1029,0.8621
2019,9,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,20,1630,1630,0,13.5,8.7,0.1319,0.1319,-
2019,9,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,240,22660,22190,470,8.5,11.3,0.4261,0.4551,-0.2656
2019,10,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,844,308520,300510,8010,24.9,50.3,-0.2345,-0.2449,0.583
2019,10,18,福井県,1,従業者規模別で表示する,101,0～9人,720,62480,-,-,10.3,26.4,-0.4007,-,-
2019,10,18,福井県,1,従業者規模別で表示する,102,10～29人,68,70100,-,-,34.3,57.9,-0.1937,-,-
2019,10,18,福井県,1,従業者規模別で表示する,103,30～99人,49,133520,-,-,43,74.7,-0.1827,-,-
2019,10,18,福井県,1,従業者規模別で表示する,104,100人以上,7,42410,-,-,36,61.2,-0.125,-,-
2019,10,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,844,308520,300510,8010,24.9,50.3,-0.2345,-0.2449,0.583
2019,10,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,420,123970,121970,2000,20.2,37.2,-0.3813,-0.3861,0.1834
2019,10,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,19310,18960,350,28.3,50.9,-0.0622,-0.0756,3.375
2019,10,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,90,134340,129590,4750,59,75,-0.044,-0.0587,0.6667
2019,10,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,19740,19260,480,44.2,62.8,-0.0945,-0.1046,0.6552
2019,10,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,10,280,280,0,2.7,2.6,-0.8919,-0.8919,-
2019,10,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,280,10880,10450,430,4.1,11.4,-0.3663,-0.3864,2.0714
2019,11,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,845,361760,351810,9950,30.3,56.8,-0.0171,-0.0239,0.3024
2019,11,18,福井県,1,従業者規模別で表示する,101,0～9人,721,80550,-,-,14,31.8,-0.1618,-,-
2019,11,18,福井県,1,従業者規模別で表示する,102,10～29人,68,82790,-,-,40.6,65.6,0.0239,-,-
2019,11,18,福井県,1,従業者規模別で表示する,103,30～99人,49,145860,-,-,48.6,80.7,0.0087,-,-
2019,11,18,福井県,1,従業者規模別で表示する,104,100人以上,7,52550,-,-,46.1,73.8,0.1301,-,-
2019,11,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,845,361760,351810,9950,30.3,56.8,-0.0171,-0.0239,0.3024
2019,11,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,440,161670,158610,3060,27.1,45.7,-0.046,-0.0511,0.3247
2019,11,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,20490,20030,460,31.2,54.7,0.0396,0.0341,0.3529
2019,11,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,90,147280,142230,5050,65.2,80.4,0.0568,0.0502,0.2817
2019,11,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,21240,20350,890,49.5,68.3,0.0525,0.056,-0.022
2019,11,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,10,0,0,0,0,0,-1,-1,-
2019,11,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,270,11080,10600,480,4.5,13.6,-0.3517,-0.375,2.6923
2019,12,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,844,324300,315540,8760,28,48.6,-0.057,-0.0657,0.4175
2019,12,18,福井県,1,従業者規模別で表示する,101,0～9人,720,71410,-,-,13.6,26,-0.2289,-,-
2019,12,18,福井県,1,従業者規模別で表示する,102,10～29人,68,70860,-,-,34.2,54.2,0.0222,-,-
2019,12,18,福井県,1,従業者規模別で表示する,103,30～99人,49,129420,-,-,41.7,69.3,-0.0305,-,-
2019,12,18,福井県,1,従業者規模別で表示する,104,100人以上,7,52610,-,-,44.7,68.2,0.0847,-,-
2019,12,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,844,324300,315540,8760,28,48.6,-0.057,-0.0657,0.4175
2019,12,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,430,150100,146630,3470,24.6,38.5,-0.138,-0.1465,0.4829
2019,12,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,16750,16220,530,24.1,41.7,-0.0521,-0.0613,0.359
2019,12,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,90,131860,128620,3240,55.3,68,0.0797,0.0759,0.2558
2019,12,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,15830,15310,520,35.7,53.7,-0.0282,-0.0261,-0.0877
2019,12,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2019,12,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,280,9740,8740,1000,5.2,10.2,-0.1265,-0.1937,2.2258
2020,1,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,854,251680,242170,9510,21,38.7,-0.075,-0.0859,0.3282
2020,1,18,福井県,1,従業者規模別で表示する,101,0～9人,731,41210,-,-,7.3,17.7,-0.3241,-,-
2020,1,18,福井県,1,従業者規模別で表示する,102,10～29人,66,56140,-,-,28.8,45.3,0.0034,-,-
2020,1,18,福井県,1,従業者規模別で表示する,103,30～99人,50,111620,-,-,35.1,56.8,-0.0124,-,-
2020,1,18,福井県,1,従業者規模別で表示する,104,100人以上,7,42700,-,-,33.9,56,0.0126,-,-
2020,1,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,854,251680,242170,9510,21,38.7,-0.075,-0.0859,0.3282
2020,1,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,440,106440,102700,3740,17.6,29.4,-0.1444,-0.1607,0.8333
2020,1,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,17410,15980,1430,24.9,41,-0.261,-0.2872,0.2544
2020,1,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,110,107630,104800,2830,44.1,55.3,0.0644,0.0631,0.1142
2020,1,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,13500,12420,1080,28.6,39.4,-0.0419,-0.082,0.9286
2020,1,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,1,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,270,6700,6260,440,2.9,7.8,-0.2497,-0.2233,-0.4943
2020,2,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,854,267760,262360,5400,25.2,43.9,-0.0905,-0.0784,-0.4439
2020,2,18,福井県,1,従業者規模別で表示する,101,0～9人,731,48030,-,-,10.3,20.7,-0.3065,-,-
2020,2,18,福井県,1,従業者規模別で表示する,102,10～29人,66,60980,-,-,33.4,51.3,0.0091,-,-
2020,2,18,福井県,1,従業者規模別で表示する,103,30～99人,50,119070,-,-,39,63.3,0.0012,-,-
2020,2,18,福井県,1,従業者規模別で表示する,104,100人以上,7,39680,-,-,36.7,60.3,-0.1329,-,-
2020,2,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,854,267760,262360,5400,25.2,43.9,-0.0905,-0.0784,-0.4439
2020,2,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,430,107310,105430,1880,19.1,31.2,-0.1789,-0.1724,-0.4303
2020,2,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,20940,20180,760,32,50.5,-0.229,-0.2187,-0.4286
2020,2,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,120,117740,115480,2260,50.3,62.4,0.0757,0.0919,-0.3875
2020,2,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,14600,14270,330,34.5,46.8,-0.1054,-0.0698,-0.6633
2020,2,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,2,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,270,7160,7000,160,4.8,9.3,-0.3352,-0.3237,-0.619
2020,3,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,852,204490,203010,1480,18.2,35.2,-0.3896,-0.3831,-0.7508
2020,3,18,福井県,1,従業者規模別で表示する,101,0～9人,729,31340,-,-,6.4,14.6,-0.5043,-,-
2020,3,18,福井県,1,従業者規模別で表示する,102,10～29人,66,56740,-,-,29.8,47.4,-0.2608,-,-
2020,3,18,福井県,1,従業者規模別で表示する,103,30～99人,50,91370,-,-,28.1,49.6,-0.3665,-,-
2020,3,18,福井県,1,従業者規模別で表示する,104,100人以上,7,25040,-,-,21.7,38.1,-0.5073,-,-
2020,3,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,852,204490,203010,1480,18.2,35.2,-0.3896,-0.3831,-0.7508
2020,3,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,420,66980,66880,100,11.4,20.9,-0.5507,-0.5454,-0.9485
2020,3,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,11130,11100,30,15.2,28.8,-0.4117,-0.4023,-0.9143
2020,3,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,120,112850,111730,1120,43.2,54.6,-0.1897,-0.1818,-0.5882
2020,3,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,8840,8780,60,22.4,32.9,-0.4806,-0.4701,-0.8667
2020,3,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,3,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,280,4680,4510,170,3,5.5,-0.5651,-0.5609,-0.6531
2020,4,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,852,91980,90630,1350,8.3,20.9,-0.7139,-0.7077,-0.8814
2020,4,18,福井県,1,従業者規模別で表示する,101,0～9人,729,26340,-,-,5.2,15.6,-0.6432,-,-
2020,4,18,福井県,1,従業者規模別で表示する,102,10～29人,66,31820,-,-,17.8,33.4,-0.5775,-,-
2020,4,18,福井県,1,従業者規模別で表示する,103,30～99人,50,31320,-,-,10.1,21.5,-0.7542,-,-
2020,4,18,福井県,1,従業者規模別で表示する,104,100人以上,7,2500,-,-,2.2,4.5,-0.9444,-,-
2020,4,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,852,91980,90630,1350,8.3,20.9,-0.7139,-0.7077,-0.8814
2020,4,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,430,19820,19810,10,3.6,10.5,-0.8523,-0.8462,-0.9981
2020,4,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,2710,2700,10,4,10.9,-0.8289,-0.8258,-0.9706
2020,4,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,110,64870,63570,1300,25.5,36.1,-0.5076,-0.5043,-0.6275
2020,4,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,3040,3000,40,9.3,16.2,-0.8455,-0.8402,-0.956
2020,4,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,4,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,270,1530,1530,0,0.8,2.8,-0.9232,-0.9179,-1
2020,5,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,853,100440,99970,470,8.3,21.2,-0.6982,-0.6913,-0.948
2020,5,18,福井県,1,従業者規模別で表示する,101,0～9人,730,25850,-,-,4.8,14.4,-0.6905,-,-
2020,5,18,福井県,1,従業者規模別で表示する,102,10～29人,66,35730,-,-,18.7,33.1,-0.5527,-,-
2020,5,18,福井県,1,従業者規模別で表示する,103,30～99人,50,38860,-,-,11.6,24.3,-0.6967,-,-
2020,5,18,福井県,1,従業者規模別で表示する,104,100人以上,7,0,-,-,0,0,-1,-,-
2020,5,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,853,100440,99970,470,8.3,21.2,-0.6982,-0.6913,-0.948
2020,5,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,430,18940,18930,10,3.2,10.6,-0.8664,-0.8621,-0.9978
2020,5,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,4640,4620,20,6.5,17,-0.6907,-0.687,-0.9167
2020,5,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,120,70060,69630,430,24.7,34.9,-0.4972,-0.4901,-0.8448
2020,5,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,5580,5570,10,13.3,23.6,-0.7095,-0.6966,-0.9882
2020,5,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,5,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,260,1220,1220,0,0.6,1.2,-0.9292,-0.9262,-1
2020,6,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,853,135310,134860,450,11.8,28.2,-0.5216,-0.5082,-0.9479
2020,6,18,福井県,1,従業者規模別で表示する,101,0～9人,731,26250,-,-,5,14.6,-0.5607,-,-
2020,6,18,福井県,1,従業者規模別で表示する,102,10～29人,66,38070,-,-,20.6,37.8,-0.4778,-,-
2020,6,18,福井県,1,従業者規模別で表示する,103,30～99人,50,66230,-,-,20.1,39.7,-0.3962,-,-
2020,6,18,福井県,1,従業者規模別で表示する,104,100人以上,6,4760,-,-,4.2,6.8,-0.8825,-,-
2020,6,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,853,135310,134860,450,11.8,28.2,-0.5216,-0.5082,-0.9479
2020,6,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,440,31100,31100,0,5.5,14.3,-0.7305,-0.7247,-1
2020,6,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,7160,7150,10,10.1,20.3,-0.4013,-0.3857,-0.9688
2020,6,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,110,88960,88530,430,33.3,47.3,-0.2969,-0.2758,-0.8993
2020,6,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,4900,4900,0,14.8,23.1,-0.7394,-0.7305,-1
2020,6,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,6,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,260,3190,3190,0,1.6,4.5,-0.6851,-0.6514,-1
2020,7,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,851,223130,222470,660,18.9,35.7,-0.3992,-0.3904,-0.8972
2020,7,18,福井県,1,従業者規模別で表示する,101,0～9人,730,45820,-,-,8.3,18.6,-0.5394,-,-
2020,7,18,福井県,1,従業者規模別で表示する,102,10～29人,66,53560,-,-,28.4,45,-0.3365,-,-
2020,7,18,福井県,1,従業者規模別で表示する,103,30～99人,49,91150,-,-,28.3,49.4,-0.3778,-,-
2020,7,18,福井県,1,従業者規模別で表示する,104,100人以上,6,32590,-,-,27.7,44.8,-0.2704,-,-
2020,7,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,851,223130,222470,660,18.9,35.7,-0.3992,-0.3904,-0.8972
2020,7,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,410,100630,100580,50,17.2,31,-0.3582,-0.3515,-0.9704
2020,7,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,10,13840,13840,0,22.8,39.4,-0.4919,-0.487,-1
2020,7,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,100,86960,86440,520,37,50.2,-0.389,-0.3758,-0.8649
2020,7,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,8970,8950,20,24.6,34.8,-0.5077,-0.5008,-0.931
2020,7,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,7,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,300,12730,12650,80,5.1,9.5,-0.4932,-0.4895,-0.7647
2020,8,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,851,266850,265960,890,22.7,38.2,-0.5356,-0.5321,-0.8569
2020,8,18,福井県,1,従業者規模別で表示する,101,0～9人,730,64410,-,-,11.7,20.5,-0.661,-,-
2020,8,18,福井県,1,従業者規模別で表示する,102,10～29人,66,60580,-,-,32,49,-0.475,-,-
2020,8,18,福井県,1,従業者規模別で表示する,103,30～99人,49,106590,-,-,33.4,52,-0.4784,-,-
2020,8,18,福井県,1,従業者規模別で表示する,104,100人以上,6,35280,-,-,30,47.1,-0.456,-,-
2020,8,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,851,266850,265960,890,22.7,38.2,-0.5356,-0.5321,-0.8569
2020,8,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,440,124100,124030,70,20.2,32.5,-0.5197,-0.517,-0.9551
2020,8,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,10,21980,21980,0,35,48.7,-0.5325,-0.5313,-1
2020,8,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,80,90520,89920,600,42.1,53.8,-0.4439,-0.4352,-0.8315
2020,8,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,10960,10940,20,29.2,37,-0.6122,-0.6059,-0.96
2020,8,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,8,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,300,19290,19090,200,8,12.1,-0.75,-0.751,-0.5745
2020,9,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,847,211140,210630,510,19.2,37.1,-0.4213,-0.4123,-0.9214
2020,9,18,福井県,1,従業者規模別で表示する,101,0～9人,726,45780,-,-,9.1,17.5,-0.4925,-,-
2020,9,18,福井県,1,従業者規模別で表示する,102,10～29人,66,53250,-,-,29.1,49.1,-0.4185,-,-
2020,9,18,福井県,1,従業者規模別で表示する,103,30～99人,49,84110,-,-,28.2,54.4,-0.4141,-,-
2020,9,18,福井県,1,従業者規模別で表示する,104,100人以上,6,28000,-,-,24.6,42.7,-0.2919,-,-
2020,9,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,847,211140,210630,510,19.2,37.1,-0.4213,-0.4123,-0.9214
2020,9,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,420,90810,90730,80,15.7,29.3,-0.3477,-0.3372,-0.9657
2020,9,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,13720,13720,0,21.3,38.4,-0.4182,-0.4147,-1
2020,9,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,90,81190,80940,250,43.1,58.4,-0.4765,-0.4677,-0.9172
2020,9,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,11170,11160,10,28.8,38.6,-0.5084,-0.4968,-0.9815
2020,9,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,9,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,300,14260,14080,180,6.4,9.6,-0.3707,-0.3655,-0.617
2020,10,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,851,258080,257350,730,21.6,42.9,-0.1635,-0.1436,-0.9089
2020,10,18,福井県,1,従業者規模別で表示する,101,0～9人,730,43300,-,-,7.6,17.6,-0.307,-,-
2020,10,18,福井県,1,従業者規模別で表示する,102,10～29人,66,62100,-,-,32.5,54,-0.1141,-,-
2020,10,18,福井県,1,従業者規模別で表示する,103,30～99人,49,114760,-,-,35.6,64.5,-0.1405,-,-
2020,10,18,福井県,1,従業者規模別で表示する,104,100人以上,6,37920,-,-,32.3,56,-0.1059,-,-
2020,10,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,851,258080,257350,730,21.6,42.9,-0.1635,-0.1436,-0.9089
2020,10,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,440,114340,114320,20,17.7,31.9,-0.0777,-0.0627,-0.99
2020,10,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,18230,18230,0,28.8,53.4,-0.0559,-0.0385,-1
2020,10,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,90,106540,105890,650,47.3,65.7,-0.2069,-0.1829,-0.8632
2020,10,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,11710,11680,30,33.4,45.5,-0.4068,-0.3936,-0.9375
2020,10,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,10,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,290,7260,7220,40,3.3,6.4,-0.3327,-0.3091,-0.907
2020,11,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,851,315090,314200,890,28.9,49.6,-0.129,-0.1069,-0.9106
2020,11,18,福井県,1,従業者規模別で表示する,101,0～9人,730,61550,-,-,12.8,22.3,-0.2359,-,-
2020,11,18,福井県,1,従業者規模別で表示する,102,10～29人,66,70280,-,-,38.1,58.8,-0.1511,-,-
2020,11,18,福井県,1,従業者規模別で表示する,103,30～99人,49,135330,-,-,43.4,71.8,-0.0722,-,-
2020,11,18,福井県,1,従業者規模別で表示する,104,100人以上,6,47940,-,-,42.1,74.2,-0.0877,-,-
2020,11,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,851,315090,314200,890,28.9,49.6,-0.129,-0.1069,-0.9106
2020,11,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,440,160600,160480,120,25.7,41.8,-0.0066,0.0118,-0.9608
2020,11,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,20560,20560,0,33.3,58.4,0.0034,0.0265,-1
2020,11,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,90,112330,111660,670,51,68.8,-0.2373,-0.2149,-0.8673
2020,11,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,12260,12230,30,35.8,46.7,-0.4228,-0.399,-0.9663
2020,11,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,11,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,280,9340,9270,70,6.6,11.5,-0.157,-0.1255,-0.8542
2020,12,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,851,237770,237030,740,21.6,38.7,-0.2668,-0.2488,-0.9155
2020,12,18,福井県,1,従業者規模別で表示する,101,0～9人,730,40260,-,-,8.6,15.7,-0.4362,-,-
2020,12,18,福井県,1,従業者規模別で表示する,102,10～29人,66,55600,-,-,29.1,47.2,-0.2154,-,-
2020,12,18,福井県,1,従業者規模別で表示する,103,30～99人,49,104000,-,-,32.3,55.8,-0.1964,-,-
2020,12,18,福井県,1,従業者規模別で表示する,104,100人以上,6,37900,-,-,32.2,57.1,-0.2796,-,-
2020,12,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,851,237770,237030,740,21.6,38.7,-0.2668,-0.2488,-0.9155
2020,12,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,430,113460,113460,0,18.4,31.1,-0.2441,-0.2262,-1
2020,12,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,13900,13900,0,21.2,39.2,-0.1701,-0.143,-1
2020,12,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,90,94340,93730,610,40.1,55,-0.2845,-0.2713,-0.8117
2020,12,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,7980,7960,20,22.6,30.2,-0.4959,-0.4801,-0.9615
2020,12,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,-,-,-,-,-,-,-,-,-
2020,12,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,290,8080,7980,100,5.9,9.8,-0.1704,-0.087,-0.9
2021,1,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,816,114400,113240,1160,10.4,23.4,-0.5455,-0.5324,-0.878
2021,1,18,福井県,1,従業者規模別で表示する,101,0～9人,699,17980,-,-,3.7,8.5,-0.5637,-,-
2021,1,18,福井県,1,従業者規模別で表示する,102,10～29人,65,32800,-,-,17.3,31.8,-0.4157,-,-
2021,1,18,福井県,1,従業者規模別で表示する,103,30～99人,47,56620,-,-,17.3,36.2,-0.4927,-,-
2021,1,18,福井県,1,従業者規模別で表示する,104,100人以上,5,7000,-,-,6.9,13.6,-0.8361,-,-
2021,1,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,816,114400,113240,1160,10.4,23.4,-0.5455,-0.5324,-0.878
2021,1,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,420,32330,32310,20,5,10.4,-0.6963,-0.6854,-0.9947
2021,1,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,7820,7820,0,14.3,29,-0.5508,-0.5106,-1
2021,1,18,福井県,2,宿泊施設タイプ別で表示する,203,ビジネスホテル,60,65250,64240,1010,32.3,44,-0.3938,-0.387,-0.6431
2021,1,18,福井県,2,宿泊施設タイプ別で表示する,204,シティホテル,10,5950,5930,20,17.4,24.3,-0.5593,-0.5225,-0.9815
2021,1,18,福井県,2,宿泊施設タイプ別で表示する,205,会社・団体の宿泊所,10,0,0,0,0,0,-,-,-
2021,1,18,福井県,2,宿泊施設タイプ別で表示する,207,簡易宿所,300,3050,2950,100,2.4,5.7,-0.5448,-0.5288,-0.7727
2021,2,18,福井県,1,従業者規模別で表示する,100,すべての従業者規模,815,125660,125200,460,12.9,27.7,-0.5307,-0.5228,-0.9148
2021,2,18,福井県,1,従業者規模別で表示する,101,0～9人,698,22140,-,-,5.3,10.8,-0.539,-,-
2021,2,18,福井県,1,従業者規模別で表示する,102,10～29人,65,34510,-,-,20.2,36.5,-0.4341,-,-
2021,2,18,福井県,1,従業者規模別で表示する,103,30～99人,47,61030,-,-,20.7,41,-0.4874,-,-
2021,2,18,福井県,1,従業者規模別で表示する,104,100人以上,5,7980,-,-,8.7,18.9,-0.7989,-,-
2021,2,18,福井県,2,宿泊施設タイプ別で表示する,200,すべての宿泊施設タイプ,815,125660,125200,460,12.9,27.7,-0.5307,-0.5228,-0.9148
2021,2,18,福井県,2,宿泊施設タイプ別で表示する,201,旅館,410,39490,39450,40,6.9,13.6,-0.632,-0.6258,-0.9787
2021,2,18,福井県,2,宿泊施設タイプ別で表示する,202,リゾートホテル,20,10320,10320,0,20.7,39,-0.5072,-0.4886,-1
